ID,Tên file,Chủ đề,Đường dẫn,Số từ,Ngày tạo,Từ khóa
28,028_Lp_trnh_hng_i_tng_-_phn_m_rng_1.txt,Lập trình hướng đối tượng,./doc,6020,2025-10-06 17:39:29,"Lập trình hướng đối tượng, phần, hướng, rộng"
29,029_Ngn_ng_C_-_phn_m_rng_1.txt,Ngôn ngữ C,./doc,6326,2025-10-06 17:39:29,"Ngôn ngữ C, phần, rộng, mở"
30,030_Ngn_ng_C++_-_phn_m_rng_1.txt,Ngôn ngữ C++,./doc,6142,2025-10-06 17:39:29,"Ngôn ngữ C++, phần, rộng, mở"
31,031_Ngn_ng_Java_-_phn_m_rng_1.txt,Ngôn ngữ Java,./doc,6344,2025-10-06 17:39:29,"Ngôn ngữ Java, phần, rộng, mở"
32,032_Python_(ngn_ng_lp_trnh)_-_phn_m_rng_1.txt,Python (ngôn ngữ lập trình),./doc,6163,2025-10-06 17:39:29,"Python (ngôn ngữ lập trình), phần, rộng, mở"
33,033_JavaScript_-_phn_m_rng_1.txt,JavaScript,./doc,6212,2025-10-06 17:39:29,"JavaScript, phần, mở, rộng"
34,034_TypeScript_-_phn_m_rng_1.txt,TypeScript,./doc,6050,2025-10-06 17:39:29,"TypeScript, phần, mở, rộng"
35,035_Node.js_-_phn_m_rng_1.txt,Node.js,./doc,6122,2025-10-06 17:39:29,"Node.js, phần, rộng, mở"
36,036_React_-_phn_m_rng_1.txt,React,./doc,6063,2025-10-06 17:39:29,"React, phần, rộng, mở"
37,037_Vue.js_-_phn_m_rng_1.txt,Vue.js,./doc,6265,2025-10-06 17:39:29,"Vue.js, phần, rộng, mở"
38,038_Angular_-_phn_m_rng_1.txt,Angular,./doc,6272,2025-10-06 17:39:29,"Angular, phần, mở, rộng"
39,039_Lp_trnh_di_ng_Android_-_phn_m_rng_1.txt,Lập trình di động Android,./doc,6471,2025-10-06 17:39:29,"Lập trình di động Android, phần, động, trình"
40,040_Lp_trnh_iOS_-_phn_m_rng_1.txt,Lập trình iOS,./doc,6166,2025-10-06 17:39:29,"Lập trình iOS, phần, rộng, trình"
41,041_Flutter_-_phn_m_rng_1.txt,Flutter,./doc,6130,2025-10-06 17:39:29,"Flutter, phần, rộng, mở"
42,042_React_Native_-_phn_m_rng_1.txt,React Native,./doc,6486,2025-10-06 17:39:29,"React Native, phần, rộng, mở"
43,043_C_s_d_liu_quan_h_(SQL)_-_phn_m_rng_1.txt,Cơ sở dữ liệu quan hệ (SQL),./doc,6463,2025-10-06 17:39:29,"Cơ sở dữ liệu quan hệ (SQL), phần, quan, liệu"
44,044_NoSQL_-_phn_m_rng_1.txt,NoSQL,./doc,6117,2025-10-06 17:39:29,"NoSQL, phần, rộng, mở"
45,045_MongoDB_-_phn_m_rng_1.txt,MongoDB,./doc,6034,2025-10-06 17:39:29,"MongoDB, phần, rộng, mở"
46,046_PostgreSQL_-_phn_m_rng_1.txt,PostgreSQL,./doc,6082,2025-10-06 17:39:29,"PostgreSQL, phần, rộng, mở"
47,047_MySQL_-_phn_m_rng_1.txt,MySQL,./doc,6347,2025-10-06 17:39:29,"MySQL, phần, mở, rộng"
48,048_Big_Data_-_phn_m_rng_1.txt,Big Data,./doc,6263,2025-10-06 17:39:29,"Big Data, phần, rộng, mở"
49,049_Hadoop_-_phn_m_rng_1.txt,Hadoop,./doc,6158,2025-10-06 17:39:29,"Hadoop, phần, rộng, mở"
50,050_Spark_-_phn_m_rng_1.txt,Spark,./doc,6219,2025-10-06 17:39:29,"Spark, phần, rộng, mở"
51,051_Phn_tch_d_liu_(Data_Analytics)_-_phn_m_rng_1.txt,Phân tích dữ liệu (Data Analytics),./doc,6316,2025-10-06 17:39:29,"Phân tích dữ liệu (Data Analytics), phần, liệu, dữ"
52,052_Khoa_hc_d_liu_(Data_Science)_-_phn_m_rng_1.txt,Khoa học dữ liệu (Data Science),./doc,6139,2025-10-06 17:39:29,"Khoa học dữ liệu (Data Science), phần, liệu, học"
53,053_Trc_quan_ha_d_liu_-_phn_m_rng_1.txt,Trực quan hóa dữ liệu,./doc,6135,2025-10-06 17:39:29,"Trực quan hóa dữ liệu, liệu, dữ, phần"
54,054_Xy_dng_API_-_phn_m_rng_1.txt,Xây dựng API,./doc,6707,2025-10-06 17:39:29,"Xây dựng API, phần, rộng, mở"
55,055_RESTful_API_-_phn_m_rng_1.txt,RESTful API,./doc,6652,2025-10-06 17:39:29,"RESTful API, phần, rộng, mở"
56,056_GraphQL_-_phn_m_rng_1.txt,GraphQL,./doc,6655,2025-10-06 17:39:29,"GraphQL, phần, rộng, mở"
57,057_Microservices_-_phn_m_rng_1.txt,Microservices,./doc,6543,2025-10-06 17:39:29,"Microservices, phần, rộng, mở"
58,058_Kin_trc_phn_mm_-_phn_m_rng_1.txt,Kiến trúc phần mềm,./doc,6116,2025-10-06 17:39:29,"Kiến trúc phần mềm, phần, rộng, mềm"
59,059_Thit_k_h_thng_phn_tn_-_phn_m_rng_1.txt,Thiết kế hệ thống phân tán,./doc,6089,2025-10-06 17:39:29,"Thiết kế hệ thống phân tán, phần, phân, rộng"
60,060_Tnh_sn_sng_cao_(High_Availability)_-_phn_m_rng_1.txt,Tính sẵn sàng cao (High Availability),./doc,6109,2025-10-06 17:39:29,"Tính sẵn sàng cao (High Availability), phần, cao, rộng"
61,061_Ti_u_hiu_nng_-_phn_m_rng_1.txt,Tối ưu hiệu năng,./doc,6203,2025-10-06 17:39:29,"Tối ưu hiệu năng, phần, hiệu, năng"
62,062_Caching_-_phn_m_rng_1.txt,Caching,./doc,6164,2025-10-06 17:39:29,"Caching, phần, rộng, mở"
63,063_CDN_-_phn_m_rng_1.txt,CDN,./doc,6311,2025-10-06 17:39:29,"CDN, phần, rộng, mở"
64,064_Kim_th_phn_mm_(Testing)_-_phn_m_rng_1.txt,Kiểm thử phần mềm (Testing),./doc,6426,2025-10-06 17:39:29,"Kiểm thử phần mềm (Testing), phần, thử, mềm"
65,065_T_ng_ha_kim_th_(Test_Automation)_-_phn_m_rng_1.txt,Tự động hóa kiểm thử (Test Automation),./doc,6667,2025-10-06 17:39:29,"Tự động hóa kiểm thử (Test Automation), phần, thử, động"
66,066_Selenium_-_phn_m_rng_1.txt,Selenium,./doc,6278,2025-10-06 17:39:29,"Selenium, phần, rộng, mở"
67,067_Kim_th_hiu_nng_-_phn_m_rng_1.txt,Kiểm thử hiệu năng,./doc,6504,2025-10-06 17:39:29,"Kiểm thử hiệu năng, phần, hiệu, thử"
68,068_Pht_trin_phn_mm_Agile_-_phn_m_rng_1.txt,Phát triển phần mềm Agile,./doc,6173,2025-10-06 17:39:29,"Phát triển phần mềm Agile, phần, triển, phát"
69,069_Scrum_-_phn_m_rng_1.txt,Scrum,./doc,6427,2025-10-06 17:39:29,"Scrum, phần, rộng, mở"
70,070_Qun_l_d_n_CNTT_-_phn_m_rng_1.txt,Quản lý dự án CNTT,./doc,6211,2025-10-06 17:39:29,"Quản lý dự án CNTT, phần, lý, mở"
71,071_DevSecOps_-_phn_m_rng_1.txt,DevSecOps,./doc,6038,2025-10-06 17:39:29,"DevSecOps, phần, rộng, mở"
72,072_An_ninh_mng_-_phn_m_rng_1.txt,An ninh mạng,./doc,6141,2025-10-06 17:39:30,"An ninh mạng, phần, mở, rộng"
73,073_Penetration_Testing_-_phn_m_rng_1.txt,Penetration Testing,./doc,6469,2025-10-06 17:39:30,"Penetration Testing, phần, rộng, mở"
74,074_SOC_-_phn_m_rng_1.txt,SOC,./doc,6256,2025-10-06 17:39:30,"SOC, phần, rộng, mở"
75,075_SIEM_-_phn_m_rng_1.txt,SIEM,./doc,6169,2025-10-06 17:39:30,"SIEM, phần, rộng, mở"
76,076_Xc_thc_v_y_quyn_-_phn_m_rng_1.txt,Xác thực và ủy quyền,./doc,6268,2025-10-06 17:39:30,"Xác thực và ủy quyền, thực, phần, rộng"
77,077_OAuth2_-_phn_m_rng_1.txt,OAuth2,./doc,6184,2025-10-06 17:39:30,"OAuth2, phần, rộng, mở"
78,078_OpenID_Connect_-_phn_m_rng_1.txt,OpenID Connect,./doc,6634,2025-10-06 17:39:30,"OpenID Connect, phần, rộng, mở"
79,079_Phn_tch_m_c_-_phn_m_rng_1.txt,Phân tích mã độc,./doc,6018,2025-10-06 17:39:30,"Phân tích mã độc, phần, tích, rộng"
80,080_Forensics_-_phn_m_rng_1.txt,Forensics,./doc,6144,2025-10-06 17:39:30,"Forensics, phần, rộng, mở"
81,081_Thc_t_o_(VR)_-_phn_m_rng_1.txt,Thực tế ảo (VR),./doc,6151,2025-10-06 17:39:30,"Thực tế ảo (VR), thực, phần, tế"
82,082_Thc_t_tng_cng_(AR)_-_phn_m_rng_1.txt,Thực tế tăng cường (AR),./doc,6684,2025-10-06 17:39:30,"Thực tế tăng cường (AR), thực, phần, tế"
83,083_Metaverse_-_phn_m_rng_1.txt,Metaverse,./doc,6383,2025-10-06 17:39:30,"Metaverse, phần, mở, metaverse"
84,084__ha_my_tnh_-_phn_m_rng_1.txt,Đồ họa máy tính,./doc,6091,2025-10-06 17:39:30,"Đồ họa máy tính, phần, rộng, mở"
85,085_Shader_-_phn_m_rng_1.txt,Shader,./doc,6391,2025-10-06 17:39:30,"Shader, phần, rộng, mở"
86,086_Ti_u_SEO_cho_ng_dng_web_-_phn_m_rng_1.txt,Tối ưu SEO cho ứng dụng web,./doc,6186,2025-10-06 17:39:30,"Tối ưu SEO cho ứng dụng web, dụng, phần, ứng"
87,087_Web_performance_-_phn_m_rng_1.txt,Web performance,./doc,6236,2025-10-06 17:39:30,"Web performance, phần, rộng, mở"
88,088_Progressive_Web_App_(PWA)_-_phn_m_rng_1.txt,Progressive Web App (PWA),./doc,6201,2025-10-06 17:39:30,"Progressive Web App (PWA), phần, rộng, mở"
89,089_Serverless_-_phn_m_rng_1.txt,Serverless,./doc,6091,2025-10-06 17:39:30,"Serverless, phần, rộng, mở"
90,090_Edge_AI_-_phn_m_rng_1.txt,Edge AI,./doc,6024,2025-10-06 17:39:30,"Edge AI, phần, rộng, mở"
91,091_Quantum_Computing_-_phn_m_rng_1.txt,Quantum Computing,./doc,6400,2025-10-06 17:39:30,"Quantum Computing, phần, mở, rộng"
92,092_My_tnh_lng_t_ng_dng_-_phn_m_rng_1.txt,Máy tính lượng tử ứng dụng,./doc,6205,2025-10-06 17:39:30,"Máy tính lượng tử ứng dụng, dụng, ứng, phần"
93,093_Giao_thc_mng_(TCP_IP)_-_phn_m_rng_1.txt,Giao thức mạng (TCP/IP),./doc,6273,2025-10-06 17:39:30,"Giao thức mạng (TCP/IP), phần, thức, giao"
94,094_HTTP_2_v_HTTP_3_-_phn_m_rng_1.txt,HTTP/2 và HTTP/3,./doc,6301,2025-10-06 17:39:30,"HTTP/2 và HTTP/3, phần, rộng, mở"
95,095_Tr_tu_nhn_to_-_phn_m_rng_2.txt,Trí tuệ nhân tạo,./doc,6462,2025-10-06 17:39:30,"Trí tuệ nhân tạo, phần, rộng, mở"
96,096_Machine_Learning_-_phn_m_rng_2.txt,Machine Learning,./doc,6300,2025-10-06 17:39:30,"Machine Learning, phần, mở, rộng"
97,097_Deep_Learning_-_phn_m_rng_2.txt,Deep Learning,./doc,6024,2025-10-06 17:39:30,"Deep Learning, phần, rộng, mở"
98,098_X_l_ngn_ng_t_nhin_(NLP)_-_phn_m_rng_2.txt,Xử lý ngôn ngữ tự nhiên (NLP),./doc,6049,2025-10-06 17:39:30,"Xử lý ngôn ngữ tự nhiên (NLP), phần, lý, rộng"
99,099_Computer_Vision_-_phn_m_rng_2.txt,Computer Vision,./doc,6238,2025-10-06 17:39:30,"Computer Vision, phần, rộng, mở"
100,100_Robot_-_phn_m_rng_2.txt,Robot,./doc,6037,2025-10-06 17:39:30,"Robot, phần, rộng, mở"
